rodada,mandante,visitante,gols_m,gols_v,ano
1,Internacional,Bahia,2,1,2024
1,Criciúma,Juventude,1,1,2024
1,São Paulo,Fortaleza,1,2,2024
1,Fluminense,Red Bull Bragantino,2,2,2024
1,Vasco da Gama Saf,Grêmio,2,1,2024
1,Corinthians,Atlético Mineiro,0,0,2024
1,Athletico Paranaense,Cuiabá Saf,4,0,2024
1,Atlético Goianiense Saf,Flamengo,1,2,2024
1,Cruzeiro,Botafogo,3,2,2024
1,Vitória,Palmeiras,0,1,2024
2,Bahia,Fluminense,2,1,2024
2,Grêmio,Athletico Paranaense,2,0,2024
2,Red Bull Bragantino,Vasco da Gama Saf,2,1,2024
2,Fortaleza,Cruzeiro,1,1,2024
2,Palmeiras,Internacional,0,1,2024
2,Juventude,Corinthians,2,0,2024
2,Atlético Mineiro,Criciúma,1,1,2024
2,Flamengo,São Paulo,2,1,2024
2,Botafogo,Atlético Goianiense Saf,1,0,2024
2,Cuiabá Saf,Vitória,0,0,2024
3,Fluminense,Vasco da Gama Saf,2,1,2024
3,Grêmio,Cuiabá Saf,1,0,2024
3,Red Bull Bragantino,Corinthians,1,0,2024
3,Atlético Mineiro,Cruzeiro,3,0,2024
3,Vitória,Bahia,2,2,2024
3,Athletico Paranaense,Internacional,1,0,2024
3,Palmeiras,Flamengo,0,0,2024
3,Atlético Goianiense Saf,São Paulo,0,3,2024
3,Botafogo,Juventude,5,1,2024
3,Criciúma,Fortaleza,1,1,2024
4,Vasco da Gama Saf,Criciúma,0,4,2024
4,Cuiabá Saf,Atlético Mineiro,0,3,2024
4,Bahia,Grêmio,1,0,2024
4,Flamengo,Botafogo,0,2,2024
4,Cruzeiro,Vitória,3,1,2024
4,Corinthians,Fluminense,3,0,2024
4,Juventude,Athletico Paranaense,1,1,2024
4,Fortaleza,Red Bull Bragantino,1,1,2024
4,Internacional,Atlético Goianiense Saf,1,1,2024
4,São Paulo,Palmeiras,0,0,2024
6,Flamengo,Corinthians,2,0,2024
